edge_id,segment_id,current_speed,freeflow_speed,timestamp,match_confidence
-274650361#3,Traffic flow_14927d1a25c4a1c8e67e228204d1126887b98cca,15.0,0.0,2026-03-05 09:00:00,1.0
-431217258#1,Traffic flow_b607d8ce3a44db9be8c773d124927407aa59a2b8,15.0,0.0,2026-03-05 09:00:00,1.0
-137945405#0,Traffic flow_6100a36f004aefd0835e32ad4bf2cd5f3cdf5352,15.0,0.0,2026-03-05 09:00:00,1.0
213118446#1,Traffic flow_215150fa3ca5661d07f9ba958f6a6fb1028df0f9,15.0,0.0,2026-03-05 09:00:00,1.0
272750556#2,Traffic flow_a8a9eec0bab68a10a62f72e8a2cf165718d593fe,15.0,0.0,2026-03-05 09:00:00,1.0
137945359#1,Traffic flow_3edf74a813fe9bd373b6946464777d867317f949,15.0,0.0,2026-03-05 09:00:00,1.0
-137945395#1,Traffic flow_07d15b6d21228b3c447286913fac8100c99c840b,15.0,0.0,2026-03-05 09:00:00,1.0
-700510916,Traffic flow_dea4ffafd46e2d259d5bdce3deab28b456d2d6d0,20.0,0.0,2026-03-05 09:00:00,1.0
-272750555#3,Traffic flow_ea65838974a623277451a25a433e9e9b39ee1880,20.0,0.0,2026-03-05 09:00:00,1.0
-213118384#1,Traffic flow_ecf3036bb45e3162ffee30ddce0ce677eb664fbd,20.0,0.0,2026-03-05 09:00:00,1.0
181551102#0,Traffic flow_3d8d608aac0797ffa785c5b5fd55b25e6d3893be,20.0,0.0,2026-03-05 09:00:00,1.0
-137945361#1,Traffic flow_0fec97f22d68a75b40a79f3e006ae8bca2ba87d3,20.0,0.0,2026-03-05 09:00:00,1.0
438153148#0,Traffic flow_60271ba3a70d9d02f8b2d052015af4288505548f,20.0,0.0,2026-03-05 09:00:00,1.0
-213164512#5,Traffic flow_b997a86dae5453b9c4cb1f1affe3906804fb9325,20.0,0.0,2026-03-05 09:00:00,1.0
137945362#1,Traffic flow_6c987f1205c9fe63b91b75e41387c82cee9b4e2f,25.0,0.0,2026-03-05 09:00:00,1.0
725369633#3,Traffic flow_85344a540555c20f12addd1d457a441fdf64ef75,25.0,0.0,2026-03-05 09:00:00,1.0
-137945361#1,Traffic flow_96a876977f228ac0eead393ddd06d0ce1555560a,25.0,0.0,2026-03-05 09:00:00,1.0
273478941#1,Traffic flow_a50064aa185549e785195f480733142c7a5162cd,30.0,0.0,2026-03-05 09:00:00,1.0
1178362747,Traffic flow_55eeaf68b39400a6c9b75ad654c5104ea9d07854,30.0,0.0,2026-03-05 09:00:00,1.0
272750556#2,Traffic flow_e57907239fd3c6a72431b1426270017e7d7157e3,30.0,0.0,2026-03-05 09:00:00,1.0
-438153140,Traffic flow_feaaaad2e3e86239a78ba4322347b5cc54ff9197,35.0,0.0,2026-03-05 09:00:00,1.0
364186014#3,Traffic flow_a7b85860b3a65ccc4de73a88fde3820b1b151980,20.0,0.0,2026-03-05 09:00:00,1.0
-137963969#2,Traffic flow_2280f5b02c6a97338af3abab42371a5d0e67af9d,20.0,0.0,2026-03-05 09:00:00,1.0
-138312728#0,Traffic flow_d0d113cd251ced870dddad85704cdf59cac4a482,25.0,0.0,2026-03-05 09:00:00,1.0
-138312728#1,Traffic flow_9fd4386c8d81303b4bdbe754a375d0dbc89780a1,25.0,0.0,2026-03-05 09:00:00,1.0
-137963981#1,Traffic flow_1dcf11a8368ec1178a9deca1b6cfed3a68d0343c,25.0,0.0,2026-03-05 09:00:00,1.0
-212738307#6,Traffic flow_08b164c25d18778003606b5c50af3e8e34ecc673,25.0,0.0,2026-03-05 09:00:00,0.9858128866537188
-137963977#2,Traffic flow_929e44a03bd1bbd8209dd99c67c330addc2f43c9,30.0,0.0,2026-03-05 09:00:00,1.0
213118372#1,Traffic flow_9bab12f245810d48b8f9f5956e3d836962050382,30.0,0.0,2026-03-05 09:00:00,1.0
-274650358#1,Traffic flow_d4dbf24795e942c06b9762e38836f648c54e9367,30.0,0.0,2026-03-05 09:00:00,1.0
364186014#3,Traffic flow_7fa6845b97647f6df6a5a7cc362ddd56c2068bd1,30.0,0.0,2026-03-05 09:00:00,1.0
-213118372#0,Traffic flow_a790a60e3fa526a87c30f96096e1d0655951e05e,35.0,0.0,2026-03-05 09:00:00,1.0
-364186014#3,Traffic flow_f0c4ac7cc5e9eadd96ea51249c223704fee43934,40.0,0.0,2026-03-05 09:00:00,1.0
137954631#3,Traffic flow_149ea7e62bd5ce9b838da39fc0af927c9013f4b7,40.0,0.0,2026-03-05 09:00:00,0.8478969163365538
-137963977#2,Traffic flow_2b0f6338028d196c5070bd589cef8fffe3d40d2e,50.0,0.0,2026-03-05 09:00:00,1.0
-374691562,Traffic flow_673fa314dcc18214aacf99241a16b1fca9210a8b,5.0,0.0,2026-03-05 09:00:00,1.0
137739265#2,Traffic flow_ac5a8760027c7965e7c2863568e02d2fae39fbb2,5.0,0.0,2026-03-05 09:00:00,1.0
252874434#0-AddedOffRampEdge,Traffic flow_9c4e1e4c8d8254dccb10e7f217eaca0d39d7cd7c,10.0,0.0,2026-03-05 09:00:00,0.9585275211738201
-431216735#1,Traffic flow_3fd273f2a815f4cd80151600fb555a1829e2c5de,10.0,0.0,2026-03-05 09:00:00,1.0
213164496#0,Traffic flow_4bceb54e69aee367b3c7c68e69f1cf9d478c1df5,10.0,0.0,2026-03-05 09:00:00,1.0
-431217258#1,Traffic flow_d09097425711ff917660190df81507bc8f89f6ff,15.0,0.0,2026-03-05 09:00:00,1.0
-213164445,Traffic flow_0c690b8cf2d512a5dd8bb7d47cf480c40d48b12d,15.0,0.0,2026-03-05 09:00:00,1.0
-438132651#2,Traffic flow_52a346ad0653fbfb024df9ac636dcb4af7a4dc35,15.0,0.0,2026-03-05 09:00:00,1.0
-213118326,Traffic flow_7707fdc3e2782c2f5aa6a692b30973ffe4aef70f,15.0,0.0,2026-03-05 09:00:00,0.879851114160581
137739403#2,Traffic flow_1964702c80d146e7721e313b80522144cb337a22,20.0,0.0,2026-03-05 09:00:00,1.0
438132659#5,Traffic flow_8d00c97bdca6b9f057a30fb090f278acdc01ed19,20.0,0.0,2026-03-05 09:00:00,1.0
-438132651#2,Traffic flow_21730120e4c5a2f6050bae3400f8b945bf114c9c,20.0,0.0,2026-03-05 09:00:00,1.0
-213164445,Traffic flow_49602f56079661fcacaf07f284fb9bd849e3f7fd,20.0,0.0,2026-03-05 09:00:00,1.0
-213164464#0,Traffic flow_9c273127096e9dec603611319ec6fc8fa14af2b6,20.0,0.0,2026-03-05 09:00:00,0.9503086077367031
-212738363#1,Traffic flow_31385fb4ca2d960cfe8181404f22c035ea95e506,25.0,0.0,2026-03-05 09:00:00,1.0
